Respondent ID,Time_in_Minutes,Q1_LA_Cnty,Q2_Follow_Sports,Q3_Three_Words_1,Q3_Three_Words_2,Q3_Three_Words_3,Q4_2024_2028,Q5_Withdrawn_Bids,Q6_Over_Budget,Q7_Overruns,Q8_Rising_Rent,Q9_Displacement,Q10_NSSE,Q11_Rank_1,Q11_Rank_2,Q11_Rank_3,Q11_Rank_4,Q11_Rank_5,Q12_Institutions_City_Council,Q12_Institutions_Trump,Q12_Institutions_USOC,Q12_Institutions_IOC,Q12_Institutions_LA2028,Q13_Impact_LA,Q14_Impact_Your_Life,Q15_Impact_Change,Q16_Supportive,Age,Gender,HH_Income,Bad_Response_Flag
10222979592,10.58,1,1,Training,Sports,Pressure,1,2,3,2,3,4,2,5,1,2,3,4,2,2,2,2,2,"Traffic, unnecessary spending, crowds, security concerns, terrorist threats.",3,2,2,3,2,6,0
10222979729,5,2,1,Nadar,Tennis,Correr,1,3,1,1,,1,1,2,4,3,1,5,0,1,1,0,0,No impact ,3,3,3,4,2,2,0
10222980745,5.73,2,4,ATHLETES,TALENT,GYMNASTICS,1,2,4,2,4,4,5,5,1,2,3,4,3,1,4,2,4,"THE OLYMPICS ARE IMPORTANT, BUT SPENDING MONEY ON OLYMPICS INSTEAD OF MORE IMPORTANT THINGS IS NOT A GOOD IDEA. THE INCOME WILL NOT OFFSET THE COST.",3,2,2,4,2,5,0
10222983250,11.92,1,4,Summer,Winter,Amazing,4,1,4,2,4,5,4,1,2,4,3,5,4,2,4,4,5,More money has to be scraped up.,5,5,5,3,2,3,0
10222983428,3.65,1,2,Bronze,Gold,Silver,3,1,3,1,3,3,3,1,3,2,4,5,3,3,3,3,3,Before it will be increase on tourism and after inscrease in money expenses.,3,3,3,2,2,5,0
10222984201,4.35,1,1,Special,Gymnastics ,Russian ,2,3,2,2,2,2,3,1,4,2,3,5,3,1,3,3,3,I’m not sure ,3,2,3,3,2,3,0
10222984680,3.68,2,1,Medals,Sports,Colored rings,1,3,2,3,1,2,1,1,2,3,4,5,0,0,0,0,0,La iscrowded enough without that event,1,3,2,2,2,4,0
10222985012,3.72,2,3,Sport,Famous,Medals,1,2,2,3,2,2,2,5,1,3,2,4,3,1,3,3,3,Make it expensive,3,2,3,2,2,11,0
10222986522,5.02,2,4,USA ,Swimming,Gold,1,3,1,3,1,1,1,5,1,3,2,4,3,1,3,3,3,,3,3,3,3,1,3,0
10222986598,4.95,2,2,International ,Patriotic,Excellence ,2,2,4,2,5,5,1,3,2,1,5,4,2,3,3,1,0,Could be great if well coordinated and kept under budget. Otherwise it has potential to be a morass.,3,2,2,3,2,11,0
10222986609,27.1,1,5,Medals,Athletes,Patriotism ,1,2,3,2,3,3,2,5,4,1,2,3,4,,,,,,4,4,4,4,2,7,0
10222987733,1.82,1,4,Sports,Arhlete,,4,1,3,1,5,4,2,1,2,3,4,5,5,2,2,1,2,Good one,4,4,2,2,1,5,0
10222987901,1.67,1,1,,,,1,2,3,1,3,4,4,1,2,3,4,5,2,5,4,4,5,,4,4,4,3,1,5,0
10222988499,0.15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10222989397,21.47,2,1,international,elite athletes,commercialism,2,2,1,1,5,5,1,5,1,3,2,4,,1,2,2,3,"Very substantial financial impact, both positive and negative.  Been there before.  As a San Diego County resident, I'm aware that it will impact us significantly also.  Equestrian events (and possibly a few others) will likely be held here.",3,3,4,5,2,10,0
10222990104,4.32,1,1,Competition,Pride,Gymnastics,1,2,4,2,3,4,3,4,1,2,3,5,3,2,5,5,4,"With LA already being a place with so many people, I think the Olympics would have a negative impact on the city. Traffic would increase, state funds would be used up, and there could be a homelessness crisis.",2,2,2,2,2,2,0
10222990119,1.15,1,4,Good,,,3,1,4,1,4,5,4,3,1,2,4,5,4,3,5,2,3,Awesome,4,4,3,2,1,4,0
10222990200,7.1,2,1,Perseverance ,Goals,Competition ,1,2,1,2,1,1,2,5,1,3,4,2,0,1,0,0,0,I think that this survey is incredibly biased and only looking at the negatives that the Olympics could bring to LA. How about the increases in rents and the possible new income this could bring to the US? I guess all the money LA’s tourist industry would bring in from hosting the Olympics is meaningless to whoever created this survey.,3,5,5,3,2,4,0
10222990395,5.02,2,1,Horses,Abuse,Gymnastics,1,2,1,2,3,3,4,5,2,1,3,4,1,1,2,2,3,Don't know,3,1,1,5,2,3,0
10222990634,3.65,2,2,Again,Not again,Is it over,1,2,1,2,1,1,1,1,3,2,4,5,1,1,1,1,1,I don't really care,1,1,1,3,2,1,0
10222991684,8.05,1,2,Ski,Travel,Win,1,2,2,2,5,5,3,5,1,4,2,3,3,1,2,2,1,"We're going to be up to our necks in debt, TRUMP JUST WANTS TO WEAKEN CALIFORNIA AS A STATE! HE WILL NEVER WIN!!",2,1,1,2,2,3,0
10222991906,3.43,2,5,Power,Respect,Hope,5,1,5,1,5,5,5,1,2,3,4,5,5,5,5,5,5,More money for small business,5,5,5,2,1,2,0
10222992058,7.13,1,2,Athlete,Games,Sport,2,2,3,2,5,4,5,1,2,3,4,5,3,1,3,3,3,Negative ,2,3,2,3,1,4,0
10222992675,3.37,2,1,Sport ,Athletic,World popular,1,2,2,2,3,3,2,1,4,2,5,3,3,1,3,3,3,I think it may hurt la ,2,2,3,2,2,4,0
10222993645,4.05,1,2,Strength ,Determination ,Passion,3,1,2,2,4,2,3,1,2,3,4,5,4,2,2,2,4,"Greater tourists, more cash flow into the city",2,3,2,2,1,4,0
10222994705,3.07,2,2,Athlete,Country,Brazil,1,2,4,2,4,4,1,5,1,3,2,4,2,1,3,3,2,Raise taxes,2,2,2,2,2,1,0
10222995215,6.68,1,2,Track record,Usa,Gold medal,2,1,4,1,5,5,5,1,5,4,3,2,3,3,3,3,3,It will definitely boost popularity of Los Angeles ,4,4,4,3,1,2,0
10222995504,2.25,1,3,Medals,Competiton,World,2,1,3,1,3,4,3,1,3,2,5,4,3,2,3,3,3,It will cause more traffic,2,2,2,2,1,4,0
10222996070,5.57,2,1,simone,gymnastics,sports,1,3,3,3,2,3,3,3,1,2,4,5,4,1,4,4,4,I'm hoping that the Olympics does not put too much financial burden on citizens ,3,4,2,2,2,1,0
10222996507,4.32,1,3,soccer,sports,athletes,2,2,4,2,5,5,3,5,2,3,1,4,3,1,3,3,3,it was cause more homelessness and higher taxes,2,2,1,2,2,3,0
10222997078,5.87,1,5,People,Costs,Games,4,2,4,2,4,4,3,2,1,3,4,5,5,4,4,4,4,Loss of money.,4,5,5,3,2,4,0
10222997130,1.08,2,2,I,Don’t ,Care,1,2,,,,,,,,,,,,,,,,,,,,,,,1
10222998440,6.23,2,4,Torch,Unity,Athletes ,3,2,3,2,3,2,1,1,5,2,3,4,3,3,3,3,3,,3,3,4,4,2,5,0
10222998543,2.57,2,2,Gold,Silver,Brownce,2,3,3,3,3,3,3,1,2,3,4,5,3,4,3,4,3,,3,3,2,2,1,6,0
10222998565,4.37,2,1,Gymnastics,Ice skating,Track,1,2,1,2,3,3,1,5,1,3,2,4,3,3,3,3,3,Not sure,4,4,4,4,2,3,0
10223000823,4.97,2,3,Expensive ,Crowed ,Fun,3,2,3,1,3,3,2,1,2,3,4,5,2,2,3,3,4,Overbudgted,3,3,3,3,1,7,0
10223001315,1.12,2,1,Crowded,Winter,Summer,1,2,,,,,,,,,,,,,,,,,,,,,,,0
10223002770,3.93,2,2,Summer,World,Champion,1,2,2,2,1,2,5,5,1,2,4,3,3,1,3,3,3,Living rates will go up in one of the most expensive places to live in the world,2,2,2,4,2,10,0
10223004407,8.6,2,2,Boring ,Omg,Thats sucks,2,2,1,2,1,1,1,1,2,3,4,5,1,1,1,1,1,Dont know,2,3,3,3,2,4,0
10223006131,8.63,2,1,Metals ,Swimming,Ribbon,1,,1,2,1,1,1,3,2,4,1,5,0,0,0,0,0,It will bring money to the city but there will be a lot of crime during the Olympic ,3,3,3,3,2,2,0
10223006795,4.57,1,3,Athletes,Medals,America,2,2,2,3,3,3,1,5,1,4,3,2,4,1,3,4,3,More traffic. Higher prices. Headaches. ,1,2,3,3,2,5,0
10223008362,15.83,1,1,International ,Summer ,Exciting ,2,2,5,2,5,5,4,5,2,4,1,3,2,1,2,3,1,"We already have a homeless crisis and instead of funding programs to mitigate the effects of the crisis, our city leaders decide it's a good idea to bring a multi-million dollar international event to the city. That's unacceptable. Before the games, I think many people will be displaced from their homes, sky high rent prices will soar even higher, building projects specifically meant for the Olympics will cause additional traffic to our already congested streets among (I'm sure) many other negative effects. After and during the games, we will have unhealthy air to deal with (especially with the trump administration already poisoning us with their cut-back of environmental regulations), excess litter on the streets, higher rent prices in areas surround LA, abandoned sports complexes wasting space (unless the city finally dodoedodoes the right thing and replace those with affordable housing, which will lead to additional expidentures that should have been used to deal with our housing crisis in the first place) ",3,2,1,2,2,11,0
10223008683,5.7,2,5,medals,tv coverage,jingle,,2,1,2,1,1,1,4,3,2,5,1,1,5,3,3,3,Lots and Lots of traffic,3,3,3,5,2,6,0
10223009731,11.43,2,4,Summer,Winter,Sports,1,2,4,3,4,5,2,5,2,3,1,4,3,1,3,3,3,"Before the games, other priorities might be sacrificed in order to meet the financial requirements for the olympics.",3,2,2,3,1,6,0
10223010149,1.78,1,1,Sports,Rings,Trophies,1,3,1,3,1,1,1,1,2,3,4,5,3,3,3,3,3,Not sure,3,3,3,2,1,11,0
10223010435,6.25,2,2,Competitive ,Ice skating ,Gymnastics ,2,2,1,2,5,5,1,5,1,3,2,4,3,1,5,4,4,Too much money spent ,3,3,2,3,2,4,0
10223010569,5.37,2,1,Sports,Athletes ,Top,1,2,2,2,4,4,2,5,3,2,4,1,3,1,3,1,3,"Housing prices will probably go up. Homelessness will also probably go up. And it will likely leave LA with a lot of massive stadiums it doesn't need, which will quickly fall into disrepair. ",2,2,1,2,2,4,0
10223011040,5.3,2,3,Nationalism,Pride,Representation,1,2,4,2,5,5,5,5,4,2,1,3,4,1,2,2,3,,,,,,,,0
10223011763,0.32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223012429,7.15,1,2,Country,Patriotism,Competition ,4,1,3,2,5,5,1,5,4,1,3,2,3,3,3,3,3,Cost of living,2,2,1,3,1,3,0
10223013268,0.12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223013585,10.83,2,1,Gymnasics,Skaking,Volleyball,1,2,1,2,1,2,3,5,1,2,4,3,3,3,5,5,3,No comment ,3,3,3,5,2,3,0
10223014284,6.6,1,1,Competition,Dedication,Sacrifice,3,2,5,2,2,2,2,5,1,3,4,2,3,1,3,3,3,Bring a variety of positive and negative energy to it,2,3,3,4,2,6,0
10223014670,4.48,2,5,Scam,Cartel,Boondoggle,3,1,5,2,5,5,5,5,3,2,1,4,3,1,1,1,1,"Nothing but horrible effects on the local population, especially the poorest and most vulnerable",2,3,1,3,1,6,0
10223015096,3.7,1,4,Sports,Medal,First,4,1,2,1,3,4,3,1,4,2,3,5,4,3,5,5,4,There will be more residents and homelessness,3,4,5,2,1,7,0
10223015588,6.9,2,1,Pride ,Dedication ,Fitness ,1,2,5,2,5,5,2,5,1,3,2,4,3,3,3,3,3,More debt ,1,1,1,2,2,4,0
10223015658,6.5,1,1,excellence,sportsmanship,dedication,3,2,5,2,2,5,3,5,3,1,2,4,1,1,1,1,1,Problems with traffic and crime.,3,3,1,5,2,4,0
10223015998,4.28,2,3,Summer,Winter,International,2,2,4,2,4,4,5,1,3,2,4,5,1,4,3,3,2,Crime and wasteful spending,2,2,1,4,1,7,0
10223016118,0.12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223016244,78.73,2,1,Swimming,Medals,Nations,1,2,1,2,4,4,5,1,2,4,3,5,1,1,2,2,1,Taxes,2,1,1,2,2,1,0
10223016298,2.83,2,2,American,Summer,Winter,2,1,5,1,4,5,4,3,1,2,4,5,3,5,4,5,4,Bring everyone together ,4,3,4,3,2,4,0
10223016544,5.15,1,1,Exciting,Fun ,Competitive ,1,2,5,2,2,5,3,5,4,1,2,3,3,0,4,4,4,Too much spending,,3,1,5,2,8,0
10223017605,3.1,2,3,Summer,Gymnastics,Sports,2,2,4,2,2,3,4,1,4,2,3,5,3,2,3,3,4,,2,2,4,2,2,6,0
10223018732,1.58,1,3,Dc,Se,Ff,2,1,5,2,2,2,3,1,3,2,4,5,1,2,1,2,2,C,1,2,3,2,2,1,1
10223021551,3.5,2,3,boring,expensive,traffic nightmare,1,2,5,2,1,3,3,5,1,2,3,4,0,1,1,1,1,No idea. I hardly ever go to LA,3,3,1,4,1,8,0
10223021773,6.58,2,2,Athletes,Sports,Teams,1,2,1,2,1,4,1,5,3,1,2,4,3,2,3,3,3,"Bring more people, raise living prices",3,2,4,2,2,11,0
10223023502,6.03,1,2,Ceremony,Tradition,International ,1,2,5,2,5,5,3,5,3,1,4,2,3,4,3,3,3,Extreme hardship and displacement of residents. An unprecedented increase in homeless population. Civil unrest and disaster.,1,1,1,2,2,4,0
10223024825,1.75,1,1,Sports,Competitive ,Hard,1,2,3,2,3,3,2,1,2,3,4,5,2,3,3,3,3,Not sure ,3,3,3,2,2,2,0
10223025721,2.5,2,2, Special,Skiing,Winter,1,1,4,1,3,3,1,1,2,3,4,5,3,2,2,2,2,Nothing,3,3,4,2,1,8,0
10223026236,7.23,1,1,Gold,Countries ,Fitness,1,2,4,2,4,5,4,1,2,3,4,5,5,2,4,3,4,Tax rises and underfunding ,2,3,3,2,2,1,0
10223026437,1.62,1,5,Hey ,The ,Best,4,1,4,2,5,3,3,4,3,1,2,5,5,4,3,0,5,The best one best ,3,4,5,3,1,5,1
10223026879,11.15,2,2,summer,winter,gymnastics,1,2,4,2,5,4,5,5,3,2,1,4,2,1,2,2,2,the City may gain some infrastructure but it will also disrupt the City while work is being done causing increased traffic issues costing more time & $$,3,2,2,5,2,4,0
10223027250,10.33,2,1,Determination,Focused,Competition,1,2,1,2,2,4,2,5,2,3,1,4,2,1,4,4,3,I don't know,3,3,3,3,2,1,0
10223028311,4.63,2,1,Boring ,Government ,Money,1,2,1,3,1,1,1,1,2,3,4,5,0,0,0,0,0,I'm not sure. I'm not American.,3,3,3,2,2,2,0
10223029638,6.43,2,4,Rings ,Competition ,Medals ,1,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,0
10223030081,10.6,2,2,Medals ,Contestants ,Judges,2,2,4,2,5,5,5,5,1,2,3,4,2,5,1,2,1,A very costly impact. ,3,1,3,5,1,4,0
10223030820,15.57,2,3,Passion ,Energy ,Confidence ,2,3,2,1,4,3,4,2,4,5,1,3,3,3,4,4,3,It will be great.,4,3,4,3,2,5,0
10223032573,12.58,2,2,Runners ,Gymnast ,Nadadores,1,2,2,2,2,5,4,5,2,3,1,4,4,1,2,3,2,,,,,,,,0
10223033291,2.8,2,3,Strength,Passion,Drive,3,1,4,2,3,2,4,4,1,2,3,5,3,2,4,2,2,Major growth on cities economic structure,3,4,4,2,1,2,0
10223034038,30.02,2,1,excitement,drama,entertainment,2,2,3,2,2,4,3,5,4,3,1,2,3,3,3,3,3,You've presented# negative & i'd like to Know more re some positive aspects like good business to LA ?,2,2,2,5,1,11,0
10223034879,5.47,2,3,Winter and summer,,,1,2,2,2,3,4,4,5,1,3,2,4,3,2,3,3,3,Tax payers out of pocket,3,2,2,3,2,3,0
10223036503,4.68,1,2,Boring,Long ,Popular,1,2,5,2,5,5,5,5,1,3,2,4,3,1,1,1,1,"Traffic, increase in homeless, riots, people being displaced from their homes, rent increases ",1,1,1,2,2,2,0
10223037426,0.52,2,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1
10223037444,1.62,2,3,Sports,People,Money,3,1,2,2,3,2,5,1,3,4,2,5,2,3,5,2,2,,3,2,2,3,2,3,0
10223040947,7.45,2,1,Women's gymnastics,Ice skating,Ski jumping,3,2,5,2,3,4,4,5,3,4,1,2,,1,3,3,4,Traffic,2,3,2,5,2,4,0
10223041375,4.7,1,4,Michael Phelps,America,Gold Medal,2,1,1,2,5,5,1,5,4,1,2,3,3,4,4,4,2,Negative,1,2,1,2,1,2,0
10223042267,7.83,1,1,Impressive,United,Healthy,1,2,4,3,3,4,4,5,1,4,3,2,4,5,4,3,4,"I think that it will draw a lot of attention to issues that are in Los Angeles, such as infrastructure and homelessness",2,2,4,2,2,11,0
10223042323,1.68,1,2,sport,great,metal,3,1,2,1,3,2,2,2,1,3,4,5,2,3,2,2,2,money,1,4,1,3,1,5,0
10223043214,4.52,1,3,determination ,motivation,gold medal,1,2,3,2,4,4,3,5,1,2,3,4,3,3,3,3,3,,3,4,2,2,2,3,0
10223043820,5.4,1,1,gold,silver,bronze,1,2,1,3,4,4,1,5,2,3,1,4,1,1,3,3,3,bring in money,3,3,4,5,2,4,0
10223044077,11.05,1,1,Honorable,Proud,Unique,1,2,1,2,5,5,2,,1,2,3,4,1,1,5,5,5,I think it will have a huge negative impact,1,1,1,3,2,1,0
10223044114,7.63,2,1,Exciting ,Uplifting ,History making ,2,2,5,2,5,4,2,,2,1,3,4,4,1,4,4,4,Empty and damaged venues. ,3,1,1,4,2,3,0
10223044600,1.42,1,3,Ganar,,,2,2,5,2,2,4,4,1,2,3,4,5,4,3,5,4,3,Nada,4,2,2,4,2,5,0
10223045112,0.22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223045312,3.45,1,4,Expensive,Crowded,Not bad,3,2,4,2,5,5,3,5,2,3,1,4,3,1,4,4,0,It'll be nuts,3,2,3,2,2,3,0
10223046014,4.43,2,3,Gymnastics,Ice-skating,Swimming,1,2,2,1,2,2,3,1,2,3,4,5,3,1,3,3,3,,3,3,3,4,2,4,0
10223046413,4,1,3,Medallas,Deportes,Entretenimiento,2,2,1,1,1,3,1,1,3,2,4,5,3,3,3,3,3,Mucho,3,3,5,2,1,4,0
10223046727,7.17,1,2,USA,Track games,Bolt,2,1,4,3,5,3,4,2,1,3,4,5,4,4,4,4,4,NA,3,2,3,2,1,5,0
10223046871,3.32,2,2,Strength,Endurance,Positivity,1,2,3,1,2,4,4,2,4,1,3,5,1,1,3,5,2,A lot,2,1,2,2,2,1,0
10223048391,5.28,1,3,Existing ,Crowded ,Enjoyment ,3,1,3,1,5,5,5,1,2,3,4,5,2,4,5,5,5,A very big impact... And opportunity for the city ,5,5,5,4,2,3,0
10223048798,4.98,2,1,Strength,Athlete,International ,1,2,4,2,4,4,1,5,1,2,3,4,3,1,2,2,3,It will have a big impact on transit for a city already challenged by transit. ,3,2,2,2,2,4,0
10223048866,8.6,1,1,Location ,Gold,Parade ,1,1,2,3,3,3,5,1,2,3,4,5,4,2,3,3,4,Only a little ,3,3,3,4,1,4,0
10223049803,6.58,2,1,Exciting,memorable,pinnacle,3,2,1,3,3,3,4,5,2,1,3,4,4,1,5,5,5,"Great visibility of the great city of Los Angeles, showing unity and diversity of LA. Was a resident and experienced 1984 games, great event!",4,3,5,4,1,11,0
10223050754,3.23,2,3,Cold,Winter,Snow,1,,1,3,1,1,1,1,2,3,4,5,0,0,0,0,0,N/a  ,3,3,3,2,2,1,0
10223052138,7.55,2,3,Softball,USA,Gold,3,2,1,2,1,2,5,5,1,3,2,4,2,1,3,3,3,"Many residents fear of ice, and ice raids",3,2,3,3,2,5,0
10223052698,7.65,1,2,Medals,Michael Phelps,Swimming,1,2,5,3,5,5,5,1,3,4,2,5,3,3,3,3,4,Prices will rise.,1,1,1,2,2,1,0
10223053533,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10223053916,7.42,2,4,Athletes ,Professional ,USA,2,1,1,2,1,1,1,5,2,1,3,4,2,5,3,1,1,To much public funds will be expended for this event.  Taxpayers will be paying the debt for years to come ,2,3,1,4,1,6,0
10223054178,3.08,1,2,Overrated,Unnecessary,Biased,1,3,3,3,3,3,3,1,2,3,4,5,3,3,3,3,3,Nothing. LA already has its own internal problems to attend to.,3,3,3,2,2,4,0
10223055869,3.12,2,4,Run,Boring,Crowd,1,2,2,2,2,3,2,5,1,2,3,4,3,1,0,0,3,n/a,2,1,3,2,2,1,0
10223056201,7.97,1,4,Soccer ,Football ,Elite ,3,2,5,2,5,5,5,5,1,4,2,3,2,1,2,4,2,It will be bad for the environment and the locals. ,1,1,1,2,2,1,0
10223056993,3.32,2,3,Games,Sports ,Winning ,1,3,1,3,1,3,3,,2,5,3,1,3,3,3,3,3,Unsure,3,3,3,2,2,1,0
10223060153,5.95,2,1,Sports,Athletic,Challenging,1,2,2,2,1,4,2,5,1,4,2,3,3,3,3,3,3,I think it will make a lot of people come to Los Angeles.,2,1,2,2,1,4,0
10223060332,5.83,1,1,Long beach,,,2,2,1,2,2,5,5,4,2,3,1,5,3,1,3,3,4,Money,2,1,1,3,2,3,0
10223062101,6.6,1,1,Gold ,United States ,Competition,1,2,4,2,4,5,5,5,1,2,3,4,3,2,3,3,3,"Great for history.  But,  financially wll be a burden",3,1,2,3,2,5,0
10223068965,5.93,2,1,Sorts,Football,Gymnastics,3,1,4,1,1,2,1,5,1,2,3,4,5,1,5,3,5,,3,3,4,3,1,8,0
10223069018,6.15,1,5,Exciting,Competitive,Interesting,2,2,1,2,1,1,1,5,2,1,4,3,4,1,3,1,4,Jobs and money from visitors. Plus added infrastructure,4,3,5,5,2,8,0
